City,Check-in,Check-out,Hotel Name,Location,Rating,Price,URL
Mumbai,2025-11-06,2025-11-08,Hotel Olten,"Western Suburbs, Mumbai (Andheri)",Scored 7.17.1Good120 reviews,CAD 111,https://www.booking.comhttps://www.booking.com/hotel/in/olten.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=862378501_393312460_2_42_0_298492&highlighted_blocks=862378501_393312460_2_42_0_298492&matching_block_id=862378501_393312460_2_42_0_298492&sr_pri_blocks=862378501_393312460_2_42_0_298492_700000&from=searchresults
Mumbai,2025-11-06,2025-11-08,Residency Hotel Fort,"South Mumbai, Mumbai (Mumbai Historical And Heritage)","Scored 8.68.6Fabulous2,576 reviews",CAD 304,https://www.booking.comhttps://www.booking.com/hotel/in/residency-mumbai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=24809401_399037522_2_1_0&highlighted_blocks=24809401_399037522_2_1_0&matching_block_id=24809401_399037522_2_1_0&sr_pri_blocks=24809401_399037522_2_1_0__1911240&from=searchresults
Mumbai,2025-11-06,2025-11-08,HOTEL AMBER PARAMOUNT,"Western Suburbs, Mumbai (Andheri)",Scored 8.28.2Very good376 reviews,CAD 140,https://www.booking.comhttps://www.booking.com/hotel/in/amber-paramount.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=1122088401_384974075_2_42_0&highlighted_blocks=1122088401_384974075_2_42_0&matching_block_id=1122088401_384974075_2_42_0&sr_pri_blocks=1122088401_384974075_2_42_0__881020&from=searchresults
Mumbai,2025-11-06,2025-11-08,Novotel Mumbai Juhu Beach,"Juhu, Mumbai (Western Suburbs)","Scored 6.26.2Review score1,976 reviews",CAD 538,https://www.booking.comhttps://www.booking.com/hotel/in/novotel-mumbai-juhu-beach.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=19160501_95454962_2_17_0&highlighted_blocks=19160501_95454962_2_17_0&matching_block_id=19160501_95454962_2_17_0&sr_pri_blocks=19160501_95454962_2_17_0__3380000&from=searchresults
Mumbai,2025-11-06,2025-11-08,Radisson Blu Mumbai International Airport,"Western Suburbs, Mumbai (Andheri)","Scored 9.09.0Superb2,742 reviews",CAD 382,https://www.booking.comhttps://www.booking.com/hotel/in/radisson-blu-mumbai-international-airport.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=683218601_279330376_2_42_0&highlighted_blocks=683218601_279330376_2_42_0&matching_block_id=683218601_279330376_2_42_0&sr_pri_blocks=683218601_279330376_2_42_0__2399800&from=searchresults
Mumbai,2025-11-06,2025-11-08,Bloom Boutique - Bandra,"Bandra, Mumbai (Western Suburbs)",Scored 8.58.5Very good904 reviews,CAD 340,https://www.booking.comhttps://www.booking.com/hotel/in/bloom-boutique-bandra.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=902803202_397121274_2_1_0_1173307&highlighted_blocks=902803202_397121274_2_1_0_1173307&matching_block_id=902803202_397121274_2_1_0_1173307&sr_pri_blocks=902803202_397121274_2_1_0_1173307_2137500&from=searchresults
Mumbai,2025-11-06,2025-11-08,"The Taj Mahal Tower, Mumbai","Colaba, Mumbai (Mumbai Historical And Heritage)","Scored 9.29.2Superb5,224 reviews",CAD 828,https://www.booking.comhttps://www.booking.com/hotel/in/the-taj-mahal-palace-tower.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=7471705_158036154_2_42_0_1203456&highlighted_blocks=7471705_158036154_2_42_0_1203456&matching_block_id=7471705_158036154_2_42_0_1203456&sr_pri_blocks=7471705_158036154_2_42_0_1203456_5200000&from=searchresults
Mumbai,2025-11-06,2025-11-08,Ginger Mumbai Airport,"Western Suburbs, Mumbai (Western Suburbs)","Scored 7.37.3Good1,492 reviews",CAD 271,https://www.booking.comhttps://www.booking.com/hotel/in/ginger-mumbai-airport.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=1050137902_379553651_0_42_0&highlighted_blocks=1050137902_379553651_0_42_0&matching_block_id=1050137902_379553651_0_42_0&sr_pri_blocks=1050137902_379553651_0_42_0__1699800&from=searchresults
Mumbai,2025-11-06,2025-11-08,Hotel Suba Galaxy Mumbai,"Western Suburbs, Mumbai (Andheri)",Scored 7.67.6Good713 reviews,CAD 204,https://www.booking.comhttps://www.booking.com/hotel/in/suba-galaxy.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=32855305_402814644_2_42_0_907165&highlighted_blocks=32855305_402814644_2_42_0_907165&matching_block_id=32855305_402814644_2_42_0_907165&sr_pri_blocks=32855305_402814644_2_42_0_907165_1284448&from=searchresults
Mumbai,2025-11-06,2025-11-08,Trident Nariman Point,"Nariman Point, Mumbai (Nariman Point)","Scored 8.98.9Fabulous4,505 reviews",CAD 748,https://www.booking.comhttps://www.booking.com/hotel/in/trident-nariman-point.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdW1iYWlIM1gEaCeIAQGYATO4AQrIAQXYAQPoAQH4AQGIAgGoAgG4AtLC6ccGwAIB0gIkNDZmMzA5YWYtZjMyZi00NzRkLTgyMzItMmI2MDI1ZmM3OTBj2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-06&checkout=2025-11-08&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=528c78a94ed508e2&srepoch=1761239379&all_sr_blocks=7879403_364831139_2_2_0&highlighted_blocks=7879403_364831139_2_2_0&matching_block_id=7879403_364831139_2_2_0&sr_pri_blocks=7879403_364831139_2_2_0__4700000&from=searchresults
