Hotel Name,Location,Rating,Reviews,Price,URL
One King West Hotel and Residence,"Financial District, Toronto (Financial District)","Scored 8.8
8.8
Excellent
7,713 reviews",,,https://www.booking.com/hotel/ca/the-suites-at-1-king-west.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
Chelsea Hotel Toronto,"Yonge - Dundas, Toronto (Yonge - Dundas)","Scored 7.9
7.9
Good
7,689 reviews",,,https://www.booking.com/hotel/ca/eaton-chelsea.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
Riu Plaza Toronto,"Entertainment District, Toronto (Entertainment District)","Scored 8.6
8.6
Excellent
209 reviews",,,https://www.booking.com/hotel/ca/riu-plaza-toronto.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)","Scored 8.5
8.5
Very Good
4,040 reviews",,,https://www.booking.com/hotel/ca/fairmont-royal-york.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
DoubleTree by Hilton Toronto Downtown,"Downtown Toronto, Toronto","Scored 8.4
8.4
Very Good
4,664 reviews",,,https://www.booking.com/hotel/ca/metropolitan-toronto.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Holiday Inn Toronto Downtown Centre by IHG,"The Village, Toronto (The Village)","Scored 8.0
8.0
Very Good
10,866 reviews",,,https://www.booking.com/hotel/ca/days-inn-toronto-downtown.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
Radisson Blu Toronto Downtown,"The Harbourfront, Toronto (The Harbourfront)","Scored 8.3
8.3
Very Good
2,627 reviews",,,https://www.booking.com/hotel/ca/radisson-admiral-toronto-harbourfront.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from_sustainable_property_sr=1&from=searchresults
Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Scored 8.4
8.4
Very Good
2,374 reviews",,,https://www.booking.com/hotel/ca/sheraton-centre.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)","Scored 8.7
8.7
Excellent
1,894 reviews",,,https://www.booking.com/hotel/ca/toronto-centre.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,"Scored 9.0
9.0
Wonderful
1,340 reviews",,,https://www.booking.com/hotel/ca/x-toronto-by-library-collection-toronto.html?label=gen173nr-10CAEoggI46AdIM1gEaCeIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ApHn6McGwAIB0gIkZGViYTY4YTAtMjk4YS00NWVlLThkMmYtNjZkMWFmOGZiOTlh2AIB4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-574890&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b3c961cb309100b2&srepoch=1761227748&from=searchresults
