title,start_dt_local,start_date,venue,city,state,country,price_min,price_max,place,price
,,,,,,,,,,
3D magic Canvas painting,2025-10-01 15:30,2025-10-01,,,,,999,999,,999
A Multi Sensory A/V Show,2025-10-18 22:00,2025-10-18,,,,,499,499,,499
Aaj Rang Hai - Nizami Brothers Live,2025-10-12 15:30,2025-10-12,,,,,500,500,,500
Ab Hai Aapki Bari by Inder Sahani,2025-10-02 16:00,2025-10-02,,,,,699,699,,699
Telling Lies -A Standup Solo by Aashish Solanki,2025-10-31 19:00,2025-10-31,,,,,599,599,,599
Ab Tumse Kya Chupana Ft- Mohit Dudeja,2025-10-11 18:00,2025-10-11,,,,,399,399,,399
Abhijeet Bhattacharya: Live in Concert Gurugram,2025-12-20 19:00,2025-12-20,,,,,3000,3000,,3000
Acrylic Painting By Social Sozo,2025-10-01 16:00,2025-10-01,,,,,799,799,,799
Acrylic Affair,2025-10-04 15:00,2025-10-04,,,,,699,699,,699
Acting & Theatre Workshop,2025-11-02 11:00,2025-11-02,,,,,499,499,,499
Adult Jokes Night in Gurgaon,2025-10-03 21:00,2025-10-03,,,,,499,499,,499
Adult Jokes Night,2025-10-01 21:00,2025-10-01,,,,,249,249,,249
Delhi Late Night Comedy - Standup comedy,2025-10-02 21:30,2025-10-02,,,,,199,199,,199
After Office Hours: A Stand Up Comedy Lineup Show,2025-10-01 20:00,2025-10-01,,,,,499,499,,499
Akhlad Ahmed Live,2025-10-04 20:00,2025-10-04,,,,,999,999,,999
Akshay Srivastava Live Standup Comedy,2025-10-02 19:00,2025-10-02,,,,,699,699,,699
Standup Stars - The Best of Stand-Up,2025-10-01 20:00,2025-10-01,,,,,249,249,,249
One Night StandUp - Standup comedy,2025-10-03 20:00,2025-10-03,,,,,249,249,,249
An adda on 'The Gift of Care',2025-10-05 11:00,2025-10-05,,,,,750,750,,750
Anime Multiverse : Anime Cosplay,2025-11-08 16:00,2025-11-08,,,,,1499,1499,,1499
Anirban Dasgupta Live,2025-10-12 18:00,2025-10-12,,,,,599,599,,599
Kisi Ko Batana Mat Ft. Anubhav Singh Bassi,2025-10-02 14:00,2025-10-02,,,,,1999,1999,,1999
AP Dhillon: One Of One Tour - Delhi,2025-12-07 18:30,2025-12-07,,,,,472000,472000,,472000
Armaan Malik - Live in Delhi,2025-11-15 19:00,2025-11-15,,,,,75000,75000,,75000
Scented Candle Making,2025-10-01 18:30,2025-10-01,,,,,899,899,,899
Artsy Sunday @ Broadway,2025-10-05 14:30,2025-10-05,,,,,450,450,,450
Arvind Sunder Live,2025-10-26 17:00,2025-10-26,,,,,399,399,,399
Wrong Singh To Say by Ashwyn Singh,2025-11-22 18:00,2025-11-22,,,,,1299,1299,,1299
Wrong Singh To Say by Ashwyn SIngh,2025-11-01 20:00,2025-11-01,,,,,1499,1499,,1499
Bad Drawing Party,2025-10-05 15:00,2025-10-05,,,,,699,699,,699
BANGR ARENA HALLOWEEN EDITION - LUDHIANA,2025-10-04 14:00,2025-10-04,,,,,3499,3499,,3499
BANGTAN CARNIVAL - FAN TOUR,2025-11-01 15:00,2025-11-01,,,,,1299,1299,,1299
Japanese Kintsugi,2025-10-02 15:00,2025-10-02,,,,,1599,1599,,1599
Best in Standup ft. Various Artists,2025-10-01 22:30,2025-10-01,,,,,899,899,,899
LATE NIGHT COMEDY SHOW,2025-10-03 22:30,2025-10-03,,,,,299,299,,299
BhayGatha- With Kahanikaar Sudhanshu Rai,2025-10-11 17:30,2025-10-11,,,,,999,999,,999
Blindfolded Talks,2025-10-15 20:00,2025-10-15,,,,,699,699,,699
Blindfolded Pottery,2025-10-04 14:00,2025-10-04,,,,,899,899,,899
BLUNT ft. Onkar,2025-10-04 19:30,2025-10-04,,,,,1599,1599,,1599
Bollywood Retro Night,2025-10-02 20:00,2025-10-02,,,,,199,199,,199
Bottle Decoupage Workshop,2025-10-05 14:00,2025-10-05,,,,,999,999,,999
CAAARNAAME - India Tour,2025-10-10 20:00,2025-10-10,,,,,199,199,,199
Candle Making Workshop,2025-10-26 13:00,2025-10-26,,,,,799,799,,799
Canvas Artwork,2025-10-08 11:30,2025-10-08,,,,,899,899,,899
Mini Canvas Painting ft. ChalkBooard,2025-10-04 11:30,2025-10-04,,,,,399,399,,399
Canvas Painting - Van Gogh Starry Night,2025-10-26 16:30,2025-10-26,,,,,1650,1650,,1650
Canvas Painting,2025-10-11 15:00,2025-10-11,,,,,399,399,,399
Chirag Panjwani Live,2025-10-04 21:30,2025-10-04,,,,,599,599,,599
Choupal by Musicathon,2025-10-12 17:00,2025-10-12,,,,,399,399,,399
Clay miniature magnet,2025-10-01 15:00,2025-10-01,,,,,799,799,,799
Clay Sculpting Workshop,2025-10-05 15:30,2025-10-05,,,,,799,799,,799
Clay Sculpting,2025-10-12 13:00,2025-10-12,,,,,599,599,,599
Clay Sculpting,2025-10-05 15:00,2025-10-05,,,,,499,499,,499
CLUBIEBER - A Justin Bieber Themed Fan Party,2025-10-18 15:00,2025-10-18,,,,,899,899,,899
Coffee Conversations,2025-10-08 19:00,2025-10-08,,,,,599,599,,599
Coil Pottery Workshop,2025-10-05 15:00,2025-10-05,,,,,1399,1399,,1399
Mid-night Comedy,2025-10-14 23:59,2025-10-14,,,,,1299,1299,,1299
Stand-up in Hauz Khas,2025-10-04 22:25,2025-10-04,,,,,299,299,,299
Comedy Roster Delhi,2025-10-04 19:30,2025-10-04,,,,,249,249,,249
Comedy Nights @Comedy County,2025-10-24 21:00,2025-10-24,,,,,899,899,,899
Comedy Nights Noida,2025-10-05 16:00,2025-10-05,,,,,899,899,,899
Comedy Roster Gurgaon,2025-10-03 21:00,2025-10-03,,,,,299,299,,299
Comedy Show Noida Sector 18,2025-10-01 17:00,2025-10-01,,,,,499,499,,499
Corporate Majdoor ft. Anmol Garg,2025-11-01 17:00,2025-11-01,,,,,699,699,,699
Japanese Kintsugi Workshop,2025-10-26 15:00,2025-10-26,,,,,599,599,,599
Crowd-Work Show by Manhar Seth,2025-10-29 19:00,2025-10-29,,,,,599,599,,599
Daniel Fernandes - Do You Know Who I Am?,2025-11-01 19:00,2025-11-01,,,,,599,599,,599
Date Night Painting Party,2025-10-25 14:44,2025-10-25,,,,,1599,1599,,1599
Demo Session - Basics Of Photography,2025-10-17 16:30,2025-10-17,,,,,200,200,,200
Dhak Dhak - A Storytelling special (Gurgaon),2025-11-08 18:30,2025-11-08,,,,,499,499,,499
Divide The Room: A Concept Comedy show by Kushagra,2025-10-01 17:00,2025-10-01,,,,,349,349,,349
DIY CROCHET FLOWER WORKSHOP,2025-10-03 13:00,2025-10-03,,,,,799,799,,799
DIY Glue Suncatcher,2025-10-03 16:00,2025-10-03,,,,,699,699,,699
Kawaii Candles Making,2025-10-01 16:00,2025-10-01,,,,,799,799,,799
Dr Panjwani A stand up comedy show,2025-10-05 18:00,2025-10-05,,,,,499,499,,499
Ek Shaam Nizami Bandhu Ke Naam,2025-10-31 20:00,2025-10-31,,,,,2299,2299,,2299
Fake Wedding CP,2025-10-25 20:30,2025-10-25,,,,,499,499,,499
Pair Pressure : A Stand UP Comedy Line up Show,2025-10-02 20:00,2025-10-02,,,,,299,299,,299
Fashion India Forum  D2C Summit 2025,2025-10-04 19:00,2025-10-04,,,,,7999,7999,,7999
Fashion India Forum - D2C Expo 2025,2025-10-04 19:00,2025-10-04,,,,,999,999,,999
Canvas Painting - Create & Connect,2025-11-23 16:30,2025-11-23,,,,,999,999,,999
Founder Club India Exhibition 2025,2025-10-04 9:00,2025-10-04,,,,,999,999,,999
Magnet & Chill: DIY Clay Fridge Magnet Workshops Event Tickets - BookMyShow,,,,,,,,,,
Gaurav Gupta Live !!!,2025-10-11 17:00,2025-10-11,,,,,1999,1999,,1999
Gaurav Kapoor Live,2025-10-02 12:00,2025-10-02,,,,,1999,1999,,1999
Gaurav Kapoor Live,2025-10-01 18:00,2025-10-01,,,,,1499,1499,,1499
Gen Why: A Millennial Spiral by Swati Sachdeva,2025-10-15 20:00,2025-10-15,,,,,1199,1199,,1199
KAUN-MAIN?!?! ft. Appurv Gupta,2025-10-11 20:00,2025-10-11,,,,,499,499,,499
Kaun-Main?!?! - Standup Special by Appurv Gupta,2025-10-23 20:00,2025-10-23,,,,,899,899,,899
Telling Lies - A Standup Solo by Aashish Solanki,2025-10-04 17:30,2025-10-04,,,,,799,799,,799
Gratitude (Shukrana),2025-10-12 18:00,2025-10-12,,,,,9777,9777,,9777
Grown Up ! Standup Comedy Show by Jaspreet Singh,2025-10-12 17:00,2025-10-12,,,,,1999,1999,,1999
GURDAS MAAN LIVE IN CONCERT,2025-11-22 19:00,2025-11-22,,,,,750,750,,750
HALKAT in THANE,2025-10-03 20:30,2025-10-03,,,,,399,399,,399
Aamchi Mumbai - An evening with Gulzar,2025-10-31 18:30,2025-10-31,,,,,1200,1200,,1200
Aarya Ambekar Live,2025-10-12 20:30,2025-10-12,,,,,1499,1499,,1499
Abhang Repost Diwali Pahat,2025-10-22 7:15,2025-10-22,,,,,300,300,,300
Abhanga Repost - Thane,2025-10-20 6:30,2025-10-20,,,,,750,750,,750
Abhangvari - Abhang Repost Band Musical Concert,2025-10-03 20:00,2025-10-03,,,,,500,500,,500
Abhijeet Bhattacharya live in concert,2026-01-30 19:00,2026-01-30,,,,,4000,4000,,4000
Aisha Syed,2025-10-14 19:00,2025-10-14,,,,,500,500,,500
