"title","date","time","price","venue","url","description"
"Teatro Malibran","8 April 1835","19:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/teatro-malibran-237","Buy Tickets for event at the Teatro Malibran. Find details about performances, artists, prices. Buy your ticket now."
"Giselle","25 Nov 2025","21:40","0 €","Palais Garnier","https://www.europaticket.com/en/event/giselle-9530-578","Buy official tickets for Giselle - Paris National Opera 2025/2026 at Palais Garnier, Paris, France. More info about performers, programme, and prices online and by phone."
"Chopin and Italian Friends at Waldensian Church","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/chopin-and-italian-friends-at-waldensian-church-24693","or contact us by phone."
"Grimaldi Forum","02 Nov 2025","15:00","0 €","Grimaldi Forum","https://www.europaticket.com/en/events/opera-and-ballet-1/grimaldi-forum-368","Buy Tickets for events at Grimaldi Forum."
"SchÃ¶nbrunn Palace Concerts","25 Nov 2025","8:30","0 €","Venue","https://www.europaticket.com/en/event/schÃ¶nbrunn-palace-concerts-5111-18790","Buy Tickets for SchÃ¶nbrunn Palace Concerts. Find details about performers, programme, and prices."
"Classic Concerts in Budapest","31 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/classic-concerts-in-budapest-152","Check your schedule and book your tickets for an incredible Classic Concert in Budapest. Secure your seats now."
"Sting","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/sting-8536-25065","or contact us by phone for more information about performers, program details, and ticket prices."
"Paradis Latin Cabaret","25 Nov 2025","9:30","0 €","Venue","https://www.europaticket.com/en/event/paradis-latin-cabaret-4823-16060","or contact us by phone."
"Opera a Palazzo","25 Oct 2025","20:30","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/opera-a-palazzo-208","Buy Tickets for Opera a Palazzo in Paris. Find details about performers, programme, and prices."
"Liszt Ferenc Academy of Music","15 Oct 2025","19:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/liszt-ferenc-academy-of-music-255","Buy tickets for representations held at the Liszt Ferenc Academy of Music and enjoy your visit in Budapest even more. Secure your tickets now."
"Chamber Opera Vienna","10 Oct 2025","19:00","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/chamber-opera-vienna-170","Check the schedule, select the date and book tickets for Chamber Opera. Tickets in advance. Details, programme and photos."
"Avicii Arena","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/avicii-arena-391","Check your schedule and come to see your favourite artists perform live on the Avicii Arena stage. Secure your tickets now."
"Budapest Lukacs Thermal Bath Full Day Admission","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/budapest-lukacs-thermal-bath-full-day-admission-1702-5917","or contact us by phone."
