event_id,title,url,start_dt_iso,start_date,start_time,segment,genre,subgenre,price_min,price_max,currency,venue,city,state,country,lat,lon,source,raw_market,start_ts,price_use
rZ7HnEZ1Af43PN,TMU Bold Men's Hockey - 2025-26 Season Pass,https://www.ticketweb.ca/event/tmu-bold-mens-hockey-mattamy-athletic-centre-tickets/14552963,2025-10-02T22:15:00Z,2025-10-02,18:15:00,Sports,Hockey,,110.0,110.0,CAD,Mattamy Athletic Centre,Toronto,ON,CA,43.662302,-79.379993,ticketmaster,,2025-10-02 22:15:00+00:00,110.0
16oZk1pPoZA2dC7u,National Geographic Live 2025-2026 Season Subscription,https://www.ticketmaster.ca/national-geographic-live-20252026-season-subscription-vancouver-british-columbia-10-15-2025/event/11006296951E2D3C,2025-10-16T02:30:00Z,2025-10-15,19:30:00,Miscellaneous,Community/Civic,Community/Civic,,,,Vancouver Playhouse,Vancouver,BC,CA,49.2777469,-123.1174817,ticketmaster,,2025-10-16 02:30:00+00:00,
rZ7HnEZ1Af44CK,TMU Bold Women's Volleyball - 2025-26 Season Pass,https://www.ticketweb.ca/event/tmu-bold-womens-volleyball-mattamy-athletic-centre-tickets/14555393,2025-10-23T22:00:00Z,2025-10-23,18:00:00,Sports,Volleyball,Volleyball,110.0,110.0,CAD,Mattamy Athletic Centre,Toronto,ON,CA,43.662302,-79.379993,ticketmaster,,2025-10-23 22:00:00+00:00,110.0
rZ7HnEZ1Af44GN,TMU Bold Men's Volleyball - 2025-26 Season Pass,https://www.ticketweb.ca/event/tmu-bold-mens-volleyball-mattamy-athletic-centre-tickets/14555323,2025-10-23T22:00:00Z,2025-10-23,18:00:00,Sports,Volleyball,Volleyball,110.0,110.0,CAD,Mattamy Athletic Centre,Toronto,ON,CA,43.662302,-79.379993,ticketmaster,,2025-10-23 22:00:00+00:00,110.0
rZ7HnEZ1Af430N,TMU Bold Women's Hockey - 2025-26 Season Pass,https://www.ticketweb.ca/event/tmu-bold-womens-hockey-mattamy-athletic-centre-tickets/14552923,2025-10-24T16:00:00Z,2025-10-24,12:00:00,Sports,Hockey,,110.0,110.0,CAD,Mattamy Athletic Centre,Toronto,ON,CA,43.662302,-79.379993,ticketmaster,,2025-10-24 16:00:00+00:00,110.0
rZ7HnEZ1Af4f_K,TMU Bold Women's Basketball - 2025-26 Season Pass,https://www.ticketweb.ca/event/tmu-bold-womens-basketball-mattamy-athletic-centre-tickets/14554653,2025-10-31T16:00:00Z,2025-10-31,12:00:00,Sports,Basketball,,110.0,110.0,CAD,Mattamy Athletic Centre,Toronto,ON,CA,43.662302,-79.379993,ticketmaster,,2025-10-31 16:00:00+00:00,110.0
rZ7HnEZ1Af4fbS,TMU Bold Men's Basketball - 2025-26 Season Pass,https://www.ticketweb.ca/event/tmu-bold-mens-basketball-mattamy-athletic-centre-tickets/14554633,2025-10-31T16:00:00Z,2025-10-31,12:00:00,Sports,Basketball,,110.0,110.0,CAD,Mattamy Athletic Centre,Toronto,ON,CA,43.662302,-79.379993,ticketmaster,,2025-10-31 16:00:00+00:00,110.0
1Ae0ZbwGklGcZWL,Casa Loma General Admission,https://www.ticketweb.ca/event/casa-loma-general-admission-casa-loma-tickets/14551163?REFERRAL_ID=tmfeed,2025-11-06T14:30:00Z,2025-11-06,09:30:00,Miscellaneous,Undefined,Undefined,,,,Casa Loma,Toronto,ON,CA,43.67813770,-79.40961500,ticketmaster,,2025-11-06 14:30:00+00:00,
1A8Zk1_Gkd2wVW3,Gifts Of Life: Israeli Play Series - Without An Evil Eye,https://www.ticketmaster.ca/gifts-of-life-israeli-play-series-toronto-ontario-11-06-2025/event/10006299CFCB4F52,2025-11-06T18:00:00Z,2025-11-06,13:00:00,Arts & Theatre,Theatre,Drama,,,,Meridian Arts Centre: Greenwin Theatre,Toronto,ON,CA,43.76605800,-79.41449500,ticketmaster,,2025-11-06 18:00:00+00:00,
1A8ZkGAGkdtK7oF,Brighton Beach Memoirs,https://www.ticketmaster.ca/brighton-beach-memoirs-toronto-ontario-11-06-2025/event/10006305E94C4448,2025-11-06T18:30:00Z,2025-11-06,13:30:00,Arts & Theatre,Theatre,Drama,,,,Meridian Arts Centre: Studio Theatre,Toronto,ON,CA,43.76613790,-79.41425050,ticketmaster,,2025-11-06 18:30:00+00:00,
1AsZkaoGkeP9sHs,Elles,https://www.ticketmaster.ca/elles-montreal-quebec-11-06-2025/event/31006251A55F1F31,2025-11-06T19:00:00Z,2025-11-06,14:00:00,Music,Chanson Francaise,Chanson Francaise,,,,CABARET DU CASINO DE MONTREAL,Montreal,QC,CA,45.50670840,-73.52595120,ticketmaster,,2025-11-06 19:00:00+00:00,
